Stkcd,Stknme_en,Listdt,Conme_en,OWNERSHIPTYPE_EN,OWNERSHIPTYPECODE,Ipoprc,Nshripo,Parval,Markettype
166,SWHY,1/26/15,Shenwan Hongyuan Group Co. Ltd.,State-run or State-owned Holding,P0301,4.86,8140985,1,4
333,MDJT,9/18/13,Midea Group Co. Ltd.,Private Enterprises,P0306,44.56,686323,1,4
1201,DRGF,4/28/21,Dongrui Food Group Co. Ltd.,Private Enterprises,P0306,63.38,31670,1,4
1202,JSGF,4/29/21,Guangdong Jushen Logistics Co. Ltd.,Private Enterprises,P0306,15.09,32242,1,4
1203,DZKY,5/10/21,Inner Mongolia Dazhong Mining Co. Ltd.,Private Enterprises,P0306,8.98,218940,1,4
1205,SHGF,5/13/21,Nanjing Shenghang Shipping Co. Ltd.,Private Enterprises,P0306,16.52,30067,1,4
1206,YYGF,5/18/21,Tianjin Yiyi Hygiene Products Co. Ltd.,Private Enterprises,P0306,44.6,23583,1,4
1207,LKKJ,6/23/21,Shandong Link Science and Technology Co. Ltd.,Private Enterprises,P0306,14.27,45500,1,4
1208,HLXL,6/24/21,Hunan Valin Wire & Cable Co. Ltd.,Private Enterprises,P0306,3.67,133606,1,4
1209,HXGF,7/23/21,Guangdong Hongxing Industrial Co. Ltd.,Private Enterprises,P0306,29.88,23487,1,4
1210,JFNY,7/29/21,Kingfore Energy Group Co. Ltd.,Private Enterprises,P0306,28.01,22690,1,4
1211,SQKJ,8/5/21,Suncha Technology Co. Ltd.,Private Enterprises,P0306,26.4,18000,1,4
1212,ZQXC,8/23/21,Sinostone (Guangdong) Co. Ltd.,Private Enterprises,P0306,31.67,22670,1,4
1213,ZTTH,9/8/21,China Railway Special Cargo Logistics Co. Ltd.,Private Enterprises,P0306,3.96,444444,1,4
1215,QWYC,9/6/21,Zhengzhou Qianwei Yangchu Food Co. Ltd.,Private Enterprises,P0306,15.71,21280,1,4
1216,HCGF,10/19/21,Hunan Hualian China Industry Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,9.37,62967,1,4
1217,HET,9/29/21,Anhui Huaertai Chemical Co. Ltd.,Private Enterprises,P0306,10.46,82970,1,4
1218,LCSY,10/15/21,Hunan Resun Co. Ltd.,Private Enterprises,P0306,45.51,22500,1,4
1219,QDSP,10/21/21,Qingdao Foods Co. Ltd.,State-run or State-owned Holding,P0301,17.2,22200,1,4
1222,YFCW,8/18/22,Wenzhou Yuanfei Pet Toy Products Co. Ltd.,Private Enterprises,P0306,13.71,34100,1,4
1223,OKKJ,12/12/22,OK Science and Technology Co. Ltd.,Private Enterprises,P0306,65.58,16680,1,4
1225,HTJD,2/22/23,Hangzhou Hota M&E Industry Co. Ltd.,Private Enterprises,P0306,46.81,16167,1,4
1226,TSZG,6/22/22,Anhui Tuoshan Heavy Industries Co. Ltd.,Private Enterprises,P0306,24.66,18667,1,4
1227,LZYH,1/17/22,Bank of Lanzhou Co. Ltd.,State-run or State-owned Holding,P0301,3.57,569570,1,4
1228,YTY,4/29/22,Yongtaiyun Chemical Logistics Co. Ltd.,Private Enterprises,P0306,30.46,25970,1,4
1229,MSKJ,8/8/22,Guangdong AVCiT Technology Holding Co. Ltd.,Private Enterprises,P0306,21.71,25000,1,4
1230,JLHJ,7/15/22,Jinglv Environment Science and Technology Co. Ltd.,State-run or State-owned Holding,P0301,34.51,27848,1,4
1231,NXKJ,8/19/22,Norsyn Crop Technology Co. Ltd.,Private Enterprises,P0306,17.77,25000,1,4
1234,TMS,1/11/22,Jiangsu Times Textile Technology Co. Ltd.,Private Enterprises,P0306,16.53,26667,1,4
1236,HYQH,8/5/22,Holly Futures Co. Ltd.,State-run or State-owned Holding,P0301,1.86,100778,1,4
1238,ZJZT,9/19/22,Zhejiang Zhengte Co. Ltd.,Private Enterprises,P0306,16.05,27500,1,4
1239,YDGF,12/12/23,Xiangtan Yongda Machinery Manufacturing Co. Ltd.,Private Enterprises,P0306,12.05,60000,1,4
1255,BFDQ,9/30/22,Zhejiang Bofay Electric Co. Ltd.,Private Enterprises,P0306,19.77,20000,1,4
1256,WGKJ,12/5/22,Zhejiang Weigang Technology Co. Ltd.,Private Enterprises,P0306,13.64,35654,1,4
1258,LXNY,7/27/22,Xinjiang Lixin Energy Co. Ltd.,State-run or State-owned Holding,P0301,3.38,233333,1,4
1259,LRKJ,8/31/22,Beijing Liven Technology Co. Ltd.,Private Enterprises,P0306,19.75,18484,1,4
1260,KTGF,2/16/23,Shandong Kuntai New Material Technology Co. Ltd.,Private Enterprises,P0306,14.27,28750,1,4
1266,HYZN,2/28/22,Shanghai Smart Control Co. Ltd.,Private Enterprises,P0306,38.61,18360,1,4
1267,HLST,11/17/21,Hui Lyu Ecological Technology Groups Co. Ltd.,Private Enterprises,P0306,3.91,,1,4
1268,LHJM,6/30/22,Guangdong Yangshan United Precision Manufacturing Co. Ltd.,Private Enterprises,P0306,19.25,26983,1,4
1269,OJKJ,9/30/22,Inner Mongolia OJing Quartz Co. Ltd.,Private Enterprises,P0306,15.65,34356,1,4
1270,CCKJ,6/6/22,Zhejiang Chengchang Technology Co. Ltd.,Private Enterprises,P0306,21.68,27954,1,4
1278,YBKJ,3/8/23,Ningbo Yibin Electronic Technology Corp.,Private Enterprises,P0306,17,30933,1,4
1282,SLDZ,5/24/23,Wuhu Sanlian Forging Co. Ltd.,Private Enterprises,P0306,27.93,28380,1,4
1283,HPKJ,9/5/22,Shenzhen Highpower Technology Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,52.19,20000,1,4
1286,SXNY,4/10/23,Shaanxi Energy Investment Co. Ltd.,State-run or State-owned Holding,P0301,9.6,750000,1,4
1287,ZDG,4/10/23,Shenzhen CECport Technology Co. Ltd.,State-run or State-owned Holding,P0301,11.88,189975,1,4
